ts_code,net_flow,name
002812.SZ,2.000888343900442e-11,恩捷股份
600426.SH,1.8189894035458565e-11,华鲁恒升
601390.SH,1.4551915228366852e-11,中国中铁
002180.SZ,1.4551915228366852e-11,纳思达
601816.SH,1.4551915228366852e-11,京沪高铁
601668.SH,1.4551915228366852e-11,中国建筑
601169.SH,1.4551915228366852e-11,北京银行
688223.SH,1.4551915228366852e-11,晶科能源
603392.SH,1.2732925824820995e-11,万泰生物
601916.SH,1.0913936421275139e-11,浙商银行
600026.SH,1.0913936421275139e-11,中远海能
688303.SH,1.0459189070388675e-11,大全能源
601699.SH,9.094947017729282e-12,潞安环能
600332.SH,7.275957614183426e-12,白云山
600893.SH,7.275957614183426e-12,航发动力
600372.SH,6.821210263296962e-12,中航机载
603260.SH,5.4569682106375694e-12,合盛硅业
