ts_code,net_flow,name
600233.SH,0.009999999990668584,圆通速递
603596.SH,0.009999999990213837,伯特利
300459.SZ,0.009999999987485353,汤姆猫
601669.SH,0.009999999983847374,中国电建
601100.SH,0.009999999983847374,恒立液压
688041.SH,0.009999999980209395,海光信息
002371.SZ,0.009999999980209395,北方华创
600938.SH,0.009999999980209395,中国海油
601398.SH,0.009999999980209395,工商银行
002475.SZ,0.009999999980209395,立讯精密
601988.SH,0.009999999980209395,中国银行
000338.SZ,0.009999999972933438,潍柴动力
002352.SZ,0.009999999972933438,顺丰控股
002245.SZ,0.009999999972933438,蔚蓝锂芯
002920.SZ,0.009999999971114448,德赛西威
688047.SH,0.009999999969295459,龙芯中科
002180.SZ,0.00999999996565748,纳思达
000725.SZ,0.00999999996565748,京东方A
002607.SZ,0.00999999996565748,中公教育
